0,1,2
74,83,122
73,82,121
73,82,121
63,75,117
61,73,115
59,70,115
56,68,110
53,62,101
47,58,90
42,54,80
38,50,72
48,66,80
56,73,89
65,81,97
68,81,100
62,74,96
56,66,91
51,61,88
52,59,87
51,41,68
53,44,73
58,51,82
66,63,92
73,73,97
72,78,92
65,74,81
57,69,69
66,73,101
65,72,98
63,71,92
61,70,87
58,68,80
56,66,75
55,66,72
54,65,71
34,51,41
34,51,41
34,51,41
45,124,5
48,128,7
52,132,9
53,134,6
52,133,4
55,136,5
60,142,8
65,147,13
64,136,0
64,136,2
63,136,2
64,137,3
63,139,4
63,141,5
64,142,6
65,143,7
56,137,9
66,144,0
56,152,0
58,146,10
71,135,0
67,160,0
67,152,0
148,157,66
208,153,182
209,152,184
207,143,178
199,131,170
196,128,165
198,131,164
197,134,161
194,135,157
212,142,176
220,164,199
218,186,207
144,146,132
22,56,6
28,85,30
40,106,79
61,128,134
75,147,144
74,146,142
74,147,140
72,145,134
70,144,129
67,142,122
65,140,117
63,139,113
60,132,95
55,120,86
46,102,73
35,79,54
25,56,38
21,39,27
18,28,19
20,23,16
28,45,9
23,39,10
20,35,14
27,41,28
39,53,40
45,59,44
43,58,37
37,53,26
16,47,15
19,50,16
20,51,10
23,51,10
39,64,22
64,86,47
84,104,67
91,111,76
102,105,86
91,94,77
71,75,60
51,55,41
38,45,29
40,49,28
53,63,38
65,75,48
61,82,41
62,85,43
62,87,47
59,86,45
50,81,37
41,75,25
31,68,14
26,66,6
57,121,11
75,146,16
96,176,19
104,192,10
98,189,0
91,179,0
92,175,7
96,175,21
108,158,73
68,111,58
32,66,42
18,53,23
22,62,0
34,84,0
59,117,7
86,145,39
98,175,17
103,182,15
111,191,16
116,197,14
117,199,13
113,194,14
107,187,14
103,182,15
85,147,14
81,139,16
75,128,20
69,118,29
70,112,40
74,112,53
81,115,64
85,118,71
90,103,50
87,96,53
85,90,60
92,93,75
106,102,91
115,108,98
113,105,92
109,100,85
90,88,73
85,94,63
78,108,48
76,127,35
78,143,25
78,151,17
74,149,5
70,145,0
73,151,29
73,153,22
73,156,14
74,159,6
73,160,3
72,162,5
72,161,11
72,160,14
76,156,0
72,146,0
64,128,6
58,107,18
53,89,28
52,74,38
52,65,47
53,61,50
51,64,46
51,64,46
50,63,45
48,61,43
47,60,42
46,59,41
45,58,40
44,57,39
29,41,27
23,33,25
23,28,31
28,33,37
29,38,35
25,42,24
28,54,17
35,67,18
51,111,0
62,122,8
74,137,20
80,145,25
78,144,20
71,140,13
67,136,7
64,135,5
48,126,7
58,138,3
70,155,2
80,163,9
85,162,24
84,152,31
82,141,31
79,135,26
79,128,47
75,124,45
72,118,45
72,115,46
72,114,50
68,108,48
61,98,44
54,91,39
59,83,49
54,78,46
47,71,39
41,64,35
37,60,31
37,60,32
38,61,35
40,63,37
40,67,36
42,68,39
44,68,44
44,67,47
45,65,53
51,68,60
57,73,70
62,78,77
81,94,100
81,94,100
81,94,100
80,93,101
79,92,101
78,91,100
78,90,102
77,89,101
62,79,86
61,78,86
58,75,83
56,73,83
56,72,85
58,74,87
61,77,92
62,78,93
70,84,110
71,85,111
72,86,112
73,87,113
75,89,115
77,91,117
78,92,118
78,92,118
86,98,124
86,98,124
86,97,125
86,97,125
86,97,127
85,96,128
85,96,128
85,96,128
79,86,132
74,83,126
64,77,112
55,71,94
49,72,78
53,81,69
61,94,67
68,104,68
86,135,53
92,141,59
97,146,65
97,143,68
93,136,64
87,130,59
85,126,58
85,126,60
52,63,69
48,58,70
46,54,75
51,58,86
59,66,95
67,74,100
70,78,99
69,78,93
58,70,92
57,70,89
55,69,82
54,68,77
51,66,71
49,64,69
48,63,70
47,61,70
43,59,58
43,59,58
42,58,57
41,119,0
48,126,6
53,133,12
55,135,14
54,134,13
53,135,11
58,140,14
62,144,16
57,129,3
59,131,3
61,136,7
65,140,11
66,143,13
63,142,14
62,141,14
61,140,15
64,137,19
68,138,3
54,146,1
65,147,19
77,136,8
69,156,0
71,152,15
153,155,82
196,152,167
193,144,163
194,140,163
196,140,165
194,136,160
187,132,151
185,135,147
185,138,146
201,144,161
213,168,191
206,184,197
155,165,140
58,103,38
42,109,38
50,127,91
63,144,145
65,148,138
63,147,134
60,144,128
56,141,120
54,140,113
52,139,107
51,138,103
51,139,101
53,136,94
53,129,90
48,114,78
33,87,53
20,59,30
16,40,14
21,36,13
30,40,16
41,71,9
37,64,11
31,56,16
27,50,22
29,48,28
32,51,29
35,55,28
37,58,25
28,65,21
32,70,23
31,69,20
28,66,17
41,79,32
66,103,60
85,121,85
90,125,92
95,103,80
80,87,69
59,66,50
43,51,36
37,48,31
41,53,31
46,60,34
49,64,33
52,69,33
46,65,33
36,61,32
32,61,31
33,70,26
41,88,20
50,105,12
54,116,7
92,167,22
95,176,19
97,185,11
94,188,3
89,186,0
88,182,0
94,184,11
100,187,22
131,193,96
121,175,115
101,147,118
76,123,81
63,119,30
71,139,4
90,165,12
105,184,33
93,181,1
94,182,2
97,185,5
100,188,6
101,189,6
101,190,4
101,190,2
100,189,0
105,185,10
102,179,11
98,172,15
95,163,18
95,157,22
95,154,26
98,154,29
100,154,30
91,125,30
87,116,32
88,110,45
101,115,66
120,126,90
133,132,102
134,129,97
129,123,89
117,117,83
104,118,67
85,122,42
74,133,23
69,147,12
72,156,9
73,159,8
73,157,7
68,150,13
67,149,12
66,150,12
64,148,10
62,149,8
60,149,7
60,149,5
60,150,3
66,155,3
66,150,3
67,140,7
68,126,13
70,113,24
72,100,39
74,90,51
76,86,59
70,72,58
71,73,59
72,74,60
74,76,62
76,78,64
79,81,67
80,82,68
81,83,69
70,73,56
63,63,53
60,59,57
66,64,65
67,70,63
